data_date,crude_exports_kbd
2016-01-01,500.0
2016-01-08,500.0
2016-01-22,399.0
2016-01-29,399.0
2016-02-05,399.0
2016-02-19,399.0
2016-02-26,387.0
2016-03-04,387.0
2016-03-11,387.0
2016-03-18,387.0
2016-03-25,387.0
2016-04-01,339.0
2016-04-08,339.0
2016-04-15,339.0
2016-04-22,390.0
2016-04-29,390.0
2016-05-06,390.0
2016-05-13,390.0
2016-05-20,390.0
2016-06-03,489.0
2016-06-10,489.0
2016-06-17,489.0
2016-06-24,598.0
2016-07-08,598.0
2016-07-15,598.0
2016-07-22,677.0
2016-07-29,677.0
2016-08-05,677.0
2016-08-12,677.0
2016-08-19,677.0
2016-08-26,698.0
2016-09-09,418.0
2016-09-16,588.0
2016-09-23,507.0
2016-09-30,440.0
2016-10-14,439.0
2016-10-21,415.0
2016-10-28,404.0
2016-11-04,410.0
2016-11-11,481.0
2016-11-18,469.0
2016-11-25,474.0
2016-12-02,499.0
2016-12-09,485.0
2016-12-16,557.0
2017-01-06,727.0
2017-01-20,599.0
2017-01-27,549.0
2017-02-03,567.0
2017-02-10,1026.0
2017-02-24,721.0
2017-03-03,897.0
2017-03-10,717.0
2017-03-17,550.0
2017-03-24,1010.0
2017-03-31,575.0
2017-04-07,689.0
2017-04-14,565.0
2017-04-21,1152.0
2017-04-28,538.0
2017-05-05,693.0
2017-05-12,1086.0
2017-05-19,625.0
2017-06-02,557.0
2017-06-09,722.0
2017-06-16,517.0
2017-06-23,528.0
2017-07-07,918.0
2017-07-14,728.0
2026-01-02,4263.0
2026-01-09,4306.0
2026-01-16,3688.0
2026-01-23,4589.0
2026-01-30,4047.0
2026-02-06,3739.0
2026-02-13,4590.0
2026-02-20,4313.0
2026-02-27,3997.0
2026-03-06,3434.0
2026-03-13,4898.0
2026-03-20,3322.0
2026-03-27,3521.0
2026-04-03,4149.0
2026-04-10,5225.0
2026-04-17,4798.0
2026-04-24,6438.0
2026-05-01,4750.0
2026-05-08,5492.0
2026-05-15,5604.0
2026-05-22,4440.0
2026-05-29,5874.0
2026-06-05,4840.0
