data_date,crude_production_kbd
2016-01-01,9219.0
2016-01-08,9227.0
2016-01-22,9221.0
2016-01-29,9214.0
2016-02-05,9186.0
2016-02-19,9102.0
2016-02-26,9077.0
2016-03-04,9078.0
2016-03-11,9068.0
2016-03-18,9038.0
2016-03-25,9022.0
2016-04-01,9008.0
2016-04-08,8977.0
2016-04-15,8953.0
2016-04-22,8938.0
2016-04-29,8825.0
2016-05-06,8802.0
2016-05-13,8791.0
2016-05-20,8767.0
2016-06-03,8745.0
2016-06-10,8716.0
2016-06-17,8677.0
2016-06-24,8622.0
2016-07-08,8485.0
2016-07-15,8494.0
2016-07-22,8515.0
2016-07-29,8460.0
2016-08-05,8445.0
2016-08-12,8597.0
2016-08-19,8548.0
2016-08-26,8488.0
2016-09-09,8493.0
2016-09-16,8512.0
2016-09-23,8497.0
2016-09-30,8467.0
2016-10-14,8464.0
2016-10-21,8504.0
2016-10-28,8522.0
2016-11-04,8692.0
2016-11-11,8681.0
2016-11-18,8690.0
2016-11-25,8699.0
2016-12-02,8697.0
2016-12-09,8796.0
2016-12-16,8786.0
2017-01-06,8946.0
2017-01-20,8961.0
2017-01-27,8915.0
2017-02-03,8978.0
2017-02-10,8977.0
2017-02-24,9032.0
2017-03-03,9088.0
2017-03-10,9109.0
2017-03-17,9129.0
2017-03-24,9147.0
2017-03-31,9199.0
2017-04-07,9235.0
2017-04-14,9252.0
2017-04-21,9265.0
2017-04-28,9293.0
2017-05-05,9314.0
2017-05-12,9305.0
2017-05-19,9320.0
2017-06-02,9318.0
2017-06-09,9330.0
2017-06-16,9350.0
2017-06-23,9250.0
2017-07-07,9397.0
2017-07-14,9429.0
2026-01-02,13811.0
2026-01-09,13753.0
2026-01-16,13732.0
2026-01-23,13696.0
2026-01-30,13215.0
2026-02-06,13713.0
2026-02-13,13735.0
2026-02-20,13702.0
2026-02-27,13696.0
2026-03-06,13678.0
2026-03-13,13668.0
2026-03-20,13657.0
2026-03-27,13657.0
2026-04-03,13596.0
2026-04-10,13596.0
2026-04-17,13585.0
2026-04-24,13586.0
2026-05-01,13573.0
2026-05-08,13710.0
2026-05-15,13702.0
2026-05-22,13715.0
2026-05-29,13707.0
2026-06-05,13799.0
